商品编码	商品名称	商品简称	品牌	品牌编码	分类	年份	季节	重量	生产方式	主题	厂家货号	供应商	外部编码	备注	规格编码	规格名称	自定义编码	长	宽	高	公司名称	市场价	实际售价	财务成本	采购价	销售价	经销价	箱规	自定义属性1	自定义属性2	自定义属性3	自定义属性4	自定义属性5	自定义属性6	自定义属性7	自定义属性8	自定义属性9	自定义属性10	自定义属性11	自定义属性12	自定义属性13	自定义属性14	自定义属性15	自定义属性16	自定义属性17	自定义属性18	自定义属性19	自定义属性20
ABL04006	爱比丽 桌面台灯 CL-12	桌面台灯	爱比丽	ABL	台灯							东莞市爱比丽电器			ABL04006000	爱比丽 桌面台灯 CL-12	DJ034								75				DJ034																			
ABL04007	爱比丽 48W太阳灯 natural white	48W太阳灯	爱比丽	ABL	美甲灯							东莞市爱比丽电器			ABL04007000	爱比丽 48W太阳灯 natural white	DJ035								160				DJ035																			
ABL04008	爱比丽TP68S 带电池可充电美甲灯（DJ030升级版）	可充电美甲灯	爱比丽	ABL	美甲灯							东莞市爱比丽电器			ABL04008000	爱比丽TP68S 带电池可充电美甲灯（DJ030升级版）	DJ055								280				DJ055																			
ABL14001	425赠品 爱比丽mini美甲灯 TP65	赠品mini灯	爱比丽	ABL	美甲灯							东莞市爱比丽电器			ABL14001000	425赠品 爱比丽mini美甲灯 TP65	ABL14001000								0				ABL14001000																			
ACE01007	ACE甲油胶 2.5g	甲油胶001M	ACE	ACE	色胶							北京（ACE)			ACE01007001	ACE甲油胶 2.5g 001M	ACE007001M								62				ACE007001M	001M																		
ACE01007	ACE甲油胶 2.5g	甲油胶002M	ACE	ACE	色胶							北京（ACE)			ACE01007002	ACE甲油胶 2.5g 002M	ACE007002M								62				ACE007002M	002M																		
ACE01007	ACE甲油胶 2.5g	甲油胶003M	ACE	ACE	色胶							北京（ACE)			ACE01007003	ACE甲油胶 2.5g 003M	ACE007003M								62				ACE007003M	003M																		
ACE01007	ACE甲油胶 2.5g	甲油胶004M	ACE	ACE	色胶							北京（ACE)			ACE01007004	ACE甲油胶 2.5g 004M	ACE007004M								62				ACE007004M	004M																		
ACE01007	ACE甲油胶 2.5g	甲油胶005M	ACE	ACE	色胶							北京（ACE)			ACE01007005	ACE甲油胶 2.5g 005M	ACE007005M								62				ACE007005M	005M																		
ACE01007	ACE甲油胶 2.5g	甲油胶006M	ACE	ACE	色胶							北京（ACE)			ACE01007006	ACE甲油胶 2.5g 006M	ACE007006M								62				ACE007006M	006M																		
ACE01007	ACE甲油胶 2.5g	甲油胶007M	ACE	ACE	色胶							北京（ACE)			ACE01007007	ACE甲油胶 2.5g 007M	ACE007007M								62				ACE007007M	007M																		
ACE01007	ACE甲油胶 2.5g	甲油胶008M	ACE	ACE	色胶							北京（ACE)			ACE01007008	ACE甲油胶 2.5g 008M	ACE007008M								62				ACE007008M	008M																		
ACE01007	ACE甲油胶 2.5g	甲油胶009M	ACE	ACE	色胶							北京（ACE)			ACE01007009	ACE甲油胶 2.5g 009M	ACE007009M								62				ACE007009M	009M																		
ACE01007	ACE甲油胶 2.5g	甲油胶010M	ACE	ACE	色胶							北京（ACE)			ACE01007010	ACE甲油胶 2.5g 010M	ACE007010M								62				ACE007010M	010M																		
ACE01007	ACE甲油胶 2.5g	甲油胶011M	ACE	ACE	色胶							北京（ACE)			ACE01007011	ACE甲油胶 2.5g 011M	ACE007011M								62				ACE007011M	011M																		
ACE01007	ACE甲油胶 2.5g	甲油胶012M	ACE	ACE	色胶							北京（ACE)			ACE01007012	ACE甲油胶 2.5g 012M	ACE007012M								62				ACE007012M	012M																		
ACE01007	ACE甲油胶 2.5g	甲油胶013M	ACE	ACE	色胶							北京（ACE)			ACE01007013	ACE甲油胶 2.5g 013M	ACE007013M								62				ACE007013M	013M																		
ACE01007	ACE甲油胶 2.5g	甲油胶014M	ACE	ACE	色胶							北京（ACE)			ACE01007014	ACE甲油胶 2.5g 014M	ACE007014M								62				ACE007014M	014M																		
ACE01007	ACE甲油胶 2.5g	甲油胶015M	ACE	ACE	色胶							北京（ACE)			ACE01007015	ACE甲油胶 2.5g 015M	ACE007015M								62				ACE007015M	015M																		
ACE01007	ACE甲油胶 2.5g	甲油胶016M	ACE	ACE	色胶							北京（ACE)			ACE01007016	ACE甲油胶 2.5g 016M	ACE007016M								62				ACE007016M	016M																		
ACE01007	ACE甲油胶 2.5g	甲油胶017M	ACE	ACE	色胶							北京（ACE)			ACE01007017	ACE甲油胶 2.5g 017M	ACE007017M								62				ACE007017M	017M																		
ACE01007	ACE甲油胶 2.5g	甲油胶018M	ACE	ACE	色胶							北京（ACE)			ACE01007018	ACE甲油胶 2.5g 018M	ACE007018M								62				ACE007018M	018M																		
ACE01007	ACE甲油胶 2.5g	甲油胶019M	ACE	ACE	色胶							北京（ACE)			ACE01007019	ACE甲油胶 2.5g 019M	ACE007019M								62				ACE007019M	019M																		
ACE01007	ACE甲油胶 2.5g	甲油胶020M	ACE	ACE	色胶							北京（ACE)			ACE01007020	ACE甲油胶 2.5g 020M	ACE007020M								62				ACE007020M	020M																		
ACE01007	ACE甲油胶 2.5g	甲油胶021M	ACE	ACE	色胶							北京（ACE)			ACE01007021	ACE甲油胶 2.5g 021M	ACE007021M								62				ACE007021M	021M																		
ACE01007	ACE甲油胶 2.5g	甲油胶022M	ACE	ACE	色胶							北京（ACE)			ACE01007022	ACE甲油胶 2.5g 022M	ACE007022M								62				ACE007022M	022M																		
ACE01007	ACE甲油胶 2.5g	甲油胶023M	ACE	ACE	色胶							北京（ACE)			ACE01007023	ACE甲油胶 2.5g 023M	ACE007023M								62				ACE007023M	023M																		
ACE01007	ACE甲油胶 2.5g	甲油胶024M	ACE	ACE	色胶							北京（ACE)			ACE01007024	ACE甲油胶 2.5g 024M	ACE007024M								62				ACE007024M	024M																		
ACE01007	ACE甲油胶 2.5g	甲油胶025M	ACE	ACE	色胶							北京（ACE)			ACE01007025	ACE甲油胶 2.5g 025M	ACE007025M								62				ACE007025M	025M																		
ACE01007	ACE甲油胶 2.5g	甲油胶026M	ACE	ACE	色胶							北京（ACE)			ACE01007026	ACE甲油胶 2.5g 026M	ACE007026M								62				ACE007026M	026M																		
ACE01007	ACE甲油胶 2.5g	甲油胶027M	ACE	ACE	色胶							北京（ACE)			ACE01007027	ACE甲油胶 2.5g 027M	ACE007027M								62				ACE007027M	027M																		
ACE01007	ACE甲油胶 2.5g	甲油胶028M	ACE	ACE	色胶							北京（ACE)			ACE01007028	ACE甲油胶 2.5g 028M	ACE007028M								62				ACE007028M	028M																		
ACE01007	ACE甲油胶 2.5g	甲油胶029M	ACE	ACE	色胶							北京（ACE)			ACE01007029	ACE甲油胶 2.5g 029M	ACE007029M								62				ACE007029M	029M																		
ACE01007	ACE甲油胶 2.5g	甲油胶030M	ACE	ACE	色胶							北京（ACE)			ACE01007030	ACE甲油胶 2.5g 030M	ACE007030M								62				ACE007030M	030M																		
ACE01007	ACE甲油胶 2.5g	甲油胶031M	ACE	ACE	色胶							北京（ACE)			ACE01007031	ACE甲油胶 2.5g 031M	ACE007031M								62				ACE007031M	031M																		
ACE01007	ACE甲油胶 2.5g	甲油胶032M	ACE	ACE	色胶							北京（ACE)			ACE01007032	ACE甲油胶 2.5g 032M	ACE007032M								62				ACE007032M	032M																		
ACE01007	ACE甲油胶 2.5g	甲油胶033M	ACE	ACE	色胶							北京（ACE)			ACE01007033	ACE甲油胶 2.5g 033M	ACE007033M								62				ACE007033M	033M																		
ACE01007	ACE甲油胶 2.5g	甲油胶034M	ACE	ACE	色胶							北京（ACE)			ACE01007034	ACE甲油胶 2.5g 034M	ACE007034M								62				ACE007034M	034M																		
ACE01007	ACE甲油胶 2.5g	甲油胶035M	ACE	ACE	色胶							北京（ACE)			ACE01007035	ACE甲油胶 2.5g 035M	ACE007035M								62				ACE007035M	035M																		
ACE01007	ACE甲油胶 2.5g	甲油胶036M	ACE	ACE	色胶							北京（ACE)			ACE01007036	ACE甲油胶 2.5g 036M	ACE007036M								62				ACE007036M	036M																		
ACE01007	ACE甲油胶 2.5g	甲油胶037M	ACE	ACE	色胶							北京（ACE)			ACE01007037	ACE甲油胶 2.5g 037M	ACE007037M								62				ACE007037M	037M																		
ACE01007	ACE甲油胶 2.5g	甲油胶038M	ACE	ACE	色胶							北京（ACE)			ACE01007038	ACE甲油胶 2.5g 038M	ACE007038M								62				ACE007038M	038M																		
ACE01007	ACE甲油胶 2.5g	甲油胶039M	ACE	ACE	色胶							北京（ACE)			ACE01007039	ACE甲油胶 2.5g 039M	ACE007039M								62				ACE007039M	039M																		
ACE01007	ACE甲油胶 2.5g	甲油胶040M	ACE	ACE	色胶							北京（ACE)			ACE01007040	ACE甲油胶 2.5g 040M	ACE007040M								62				ACE007040M	040M																		
ACE01007	ACE甲油胶 2.5g	甲油胶041M	ACE	ACE	色胶							北京（ACE)			ACE01007041	ACE甲油胶 2.5g 041M	ACE007041M								62				ACE007041M	041M																		
ACE01007	ACE甲油胶 2.5g	甲油胶042M	ACE	ACE	色胶							北京（ACE)			ACE01007042	ACE甲油胶 2.5g 042M	ACE007042M								62				ACE007042M	042M																		
ACE01007	ACE甲油胶 2.5g	甲油胶043M	ACE	ACE	色胶							北京（ACE)			ACE01007043	ACE甲油胶 2.5g 043M	ACE007043M								62				ACE007043M	043M																		
ACE01007	ACE甲油胶 2.5g	甲油胶044M	ACE	ACE	色胶							北京（ACE)			ACE01007044	ACE甲油胶 2.5g 044M	ACE007044M								62				ACE007044M	044M																		
ACE01007	ACE甲油胶 2.5g	甲油胶045M	ACE	ACE	色胶							北京（ACE)			ACE01007045	ACE甲油胶 2.5g 045M	ACE007045M								62				ACE007045M	045M																		
ACE01007	ACE甲油胶 2.5g	甲油胶046P	ACE	ACE	色胶							北京（ACE)			ACE01007046	ACE甲油胶 2.5g 046P	ACE007046P								62				ACE007046P	046P																		
ACE01007	ACE甲油胶 2.5g	甲油胶047P	ACE	ACE	色胶							北京（ACE)			ACE01007047	ACE甲油胶 2.5g 047P	ACE007047P								62				ACE007047P	047P																		
ACE01007	ACE甲油胶 2.5g	甲油胶048P	ACE	ACE	色胶							北京（ACE)			ACE01007048	ACE甲油胶 2.5g 048P	ACE007048P								62				ACE007048P	048P																		
ACE01007	ACE甲油胶 2.5g	甲油胶049P	ACE	ACE	色胶							北京（ACE)			ACE01007049	ACE甲油胶 2.5g 049P	ACE007049P								62				ACE007049P	049P																		
ACE01007	ACE甲油胶 2.5g	甲油胶050P	ACE	ACE	色胶							北京（ACE)			ACE01007050	ACE甲油胶 2.5g 050P	ACE007050P								62				ACE007050P	050P																		
ACE01007	ACE甲油胶 2.5g	甲油胶051R	ACE	ACE	色胶							北京（ACE)			ACE01007051	ACE甲油胶 2.5g 051R	ACE007051R								62				ACE007051R	051R																		
ACE01007	ACE甲油胶 2.5g	甲油胶052R	ACE	ACE	色胶							北京（ACE)			ACE01007052	ACE甲油胶 2.5g 052R	ACE007052R								62				ACE007052R	052R																		
ACE01007	ACE甲油胶 2.5g	甲油胶053P	ACE	ACE	色胶							北京（ACE)			ACE01007053	ACE甲油胶 2.5g 053P	ACE007053P								62				ACE007053P	053P																		
ACE01007	ACE甲油胶 2.5g	甲油胶054P	ACE	ACE	色胶							北京（ACE)			ACE01007054	ACE甲油胶 2.5g 054P	ACE007054P								62				ACE007054P	054P																		
ACE01007	ACE甲油胶 2.5g	甲油胶055P	ACE	ACE	色胶							北京（ACE)			ACE01007055	ACE甲油胶 2.5g 055P	ACE007055P								62				ACE007055P	055P																		
ACE01007	ACE甲油胶 2.5g	甲油胶056P	ACE	ACE	色胶							北京（ACE)			ACE01007056	ACE甲油胶 2.5g 056P	ACE007056P								62				ACE007056P	056P																		
ACE01007	ACE甲油胶 2.5g	甲油胶057P	ACE	ACE	色胶							北京（ACE)			ACE01007057	ACE甲油胶 2.5g 057P	ACE007057P								62				ACE007057P	057P																		
ACE01007	ACE甲油胶 2.5g	甲油胶058P	ACE	ACE	色胶							北京（ACE)			ACE01007058	ACE甲油胶 2.5g 058P	ACE007058P								62				ACE007058P	058P																		
ACE01007	ACE甲油胶 2.5g	甲油胶059P	ACE	ACE	色胶							北京（ACE)			ACE01007059	ACE甲油胶 2.5g 059P	ACE007059P								62				ACE007059P	059P																		
ACE01007	ACE甲油胶 2.5g	甲油胶060P	ACE	ACE	色胶							北京（ACE)			ACE01007060	ACE甲油胶 2.5g 060P	ACE007060P								62				ACE007060P	060P																		
ACE01007	ACE甲油胶 2.5g	甲油胶061P	ACE	ACE	色胶							北京（ACE)			ACE01007061	ACE甲油胶 2.5g 061P	ACE007061P								62				ACE007061P	061P																		
ACE01007	ACE甲油胶 2.5g	甲油胶062P	ACE	ACE	色胶							北京（ACE)			ACE01007062	ACE甲油胶 2.5g 062P	ACE007062P								62				ACE007062P	062P																		
ACE01007	ACE甲油胶 2.5g	甲油胶063P	ACE	ACE	色胶							北京（ACE)			ACE01007063	ACE甲油胶 2.5g 063P	ACE007063P								62				ACE007063P	063P																		
ACE01007	ACE甲油胶 2.5g	甲油胶064P	ACE	ACE	色胶							北京（ACE)			ACE01007064	ACE甲油胶 2.5g 064P	ACE007064P								62				ACE007064P	064P																		
ACE01007	ACE甲油胶 2.5g	甲油胶065P	ACE	ACE	色胶							北京（ACE)			ACE01007065	ACE甲油胶 2.5g 065P	ACE007065P								62				ACE007065P	065P																		
ACE01007	ACE甲油胶 2.5g	甲油胶066P	ACE	ACE	色胶							北京（ACE)			ACE01007066	ACE甲油胶 2.5g 066P	ACE007066P								62				ACE007066P	066P																		
ACE01007	ACE甲油胶 2.5g	甲油胶067P	ACE	ACE	色胶							北京（ACE)			ACE01007067	ACE甲油胶 2.5g 067P	ACE007067P								62				ACE007067P	067P																		
ACE01007	ACE甲油胶 2.5g	甲油胶068P	ACE	ACE	色胶							北京（ACE)			ACE01007068	ACE甲油胶 2.5g 068P	ACE007068P								62				ACE007068P	068P																		
ACE01007	ACE甲油胶 2.5g	甲油胶069P	ACE	ACE	色胶							北京（ACE)			ACE01007069	ACE甲油胶 2.5g 069P	ACE007069P								62				ACE007069P	069P																		
ACE01007	ACE甲油胶 2.5g	甲油胶070P	ACE	ACE	色胶							北京（ACE)			ACE01007070	ACE甲油胶 2.5g 070P	ACE007070P								62				ACE007070P	070P																		
ACE01007	ACE甲油胶 2.5g	甲油胶071P	ACE	ACE	色胶							北京（ACE)			ACE01007071	ACE甲油胶 2.5g 071P	ACE007071P								62				ACE007071P	071P																		
ACE01007	ACE甲油胶 2.5g	甲油胶072R	ACE	ACE	色胶							北京（ACE)			ACE01007072	ACE甲油胶 2.5g 072R	ACE007072R								62				ACE007072R	072R																		
ACE01007	ACE甲油胶 2.5g	甲油胶073R	ACE	ACE	色胶							北京（ACE)			ACE01007073	ACE甲油胶 2.5g 073R	ACE007073R								62				ACE007073R	073R																		
ACE01007	ACE甲油胶 2.5g	甲油胶074R	ACE	ACE	色胶							北京（ACE)			ACE01007074	ACE甲油胶 2.5g 074R	ACE007074R								62				ACE007074R	074R																		
ACE01007	ACE甲油胶 2.5g	甲油胶075R	ACE	ACE	色胶							北京（ACE)			ACE01007075	ACE甲油胶 2.5g 075R	ACE007075R								62				ACE007075R	075R																		
ACE01007	ACE甲油胶 2.5g	甲油胶076R	ACE	ACE	色胶							北京（ACE)			ACE01007076	ACE甲油胶 2.5g 076R	ACE007076R								62				ACE007076R	076R																		
ACE01007	ACE甲油胶 2.5g	甲油胶077M	ACE	ACE	色胶							北京（ACE)			ACE01007077	ACE甲油胶 2.5g 077M	ACE007077M								62				ACE007077M	077M																		
ACE01007	ACE甲油胶 2.5g	甲油胶078M	ACE	ACE	色胶							北京（ACE)			ACE01007078	ACE甲油胶 2.5g 078M	ACE007078M								62				ACE007078M	078M																		
ACE01007	ACE甲油胶 2.5g	甲油胶079M	ACE	ACE	色胶							北京（ACE)			ACE01007079	ACE甲油胶 2.5g 079M	ACE007079M								62				ACE007079M	079M																		
ACE01007	ACE甲油胶 2.5g	甲油胶080M	ACE	ACE	色胶							北京（ACE)			ACE01007080	ACE甲油胶 2.5g 080M	ACE007080M								62				ACE007080M	080M																		
ACE01007	ACE甲油胶 2.5g	甲油胶081M	ACE	ACE	色胶							北京（ACE)			ACE01007081	ACE甲油胶 2.5g 081M	ACE007081M								62				ACE007081M	081M																		
ACE01007	ACE甲油胶 2.5g	甲油胶082M	ACE	ACE	色胶							北京（ACE)			ACE01007082	ACE甲油胶 2.5g 082M	ACE007082M								62				ACE007082M	082M																		
ACE01007	ACE甲油胶 2.5g	甲油胶083M	ACE	ACE	色胶							北京（ACE)			ACE01007083	ACE甲油胶 2.5g 083M	ACE007083M								62				ACE007083M	083M																		
ACE01007	ACE甲油胶 2.5g	甲油胶084M	ACE	ACE	色胶							北京（ACE)			ACE01007084	ACE甲油胶 2.5g 084M	ACE007084M								62				ACE007084M	084M																		
ACE01007	ACE甲油胶 2.5g	甲油胶085M	ACE	ACE	色胶							北京（ACE)			ACE01007085	ACE甲油胶 2.5g 085M	ACE007085M								62				ACE007085M	085M																		
ACE01007	ACE甲油胶 2.5g	甲油胶086M	ACE	ACE	色胶							北京（ACE)			ACE01007086	ACE甲油胶 2.5g 086M	ACE007086M								62				ACE007086M	086M																		
ACE01007	ACE甲油胶 2.5g	甲油胶087M	ACE	ACE	色胶							北京（ACE)			ACE01007087	ACE甲油胶 2.5g 087M	ACE007087M								62				ACE007087M	087M																		
ACE01007	ACE甲油胶 2.5g	甲油胶088M	ACE	ACE	色胶							北京（ACE)			ACE01007088	ACE甲油胶 2.5g 088M	ACE007088M								62				ACE007088M	088M																		
ACE01007	ACE甲油胶 2.5g	甲油胶089M	ACE	ACE	色胶							北京（ACE)			ACE01007089	ACE甲油胶 2.5g 089M	ACE007089M								62				ACE007089M	089M																		
ACE01007	ACE甲油胶 2.5g	甲油胶090M	ACE	ACE	色胶							北京（ACE)			ACE01007090	ACE甲油胶 2.5g 090M	ACE007090M								62				ACE007090M	090M																		
ACE01007	ACE甲油胶 2.5g	甲油胶091M	ACE	ACE	色胶							北京（ACE)			ACE01007091	ACE甲油胶 2.5g 091M	ACE007091M								62				ACE007091M	091M																		
ACE01007	ACE甲油胶 2.5g	甲油胶092M	ACE	ACE	色胶							北京（ACE)			ACE01007092	ACE甲油胶 2.5g 092M	ACE007092M								62				ACE007092M	092M																		
ACE01007	ACE甲油胶 2.5g	甲油胶093M	ACE	ACE	色胶							北京（ACE)			ACE01007093	ACE甲油胶 2.5g 093M	ACE007093M								62				ACE007093M	093M																		
ACE01007	ACE甲油胶 2.5g	甲油胶094M	ACE	ACE	色胶							北京（ACE)			ACE01007094	ACE甲油胶 2.5g 094M	ACE007094M								62				ACE007094M	094M																		
ACE01007	ACE甲油胶 2.5g	甲油胶095M	ACE	ACE	色胶							北京（ACE)			ACE01007095	ACE甲油胶 2.5g 095M	ACE007095M								62				ACE007095M	095M																		
ACE01007	ACE甲油胶 2.5g	甲油胶096M	ACE	ACE	色胶							北京（ACE)			ACE01007096	ACE甲油胶 2.5g 096M	ACE007096M								62				ACE007096M	096M																		
ACE01007	ACE甲油胶 2.5g	甲油胶097M	ACE	ACE	色胶							北京（ACE)			ACE01007097	ACE甲油胶 2.5g 097M	ACE007097M								62				ACE007097M	097M																		
ACE01007	ACE甲油胶 2.5g	甲油胶098M	ACE	ACE	色胶							北京（ACE)			ACE01007098	ACE甲油胶 2.5g 098M	ACE007098M								62				ACE007098M	098M																		
ACE01007	ACE甲油胶 2.5g	甲油胶099M	ACE	ACE	色胶							北京（ACE)			ACE01007099	ACE甲油胶 2.5g 099M	ACE007099M								62				ACE007099M	099M																		
ACE01007	ACE甲油胶 2.5g	甲油胶100M	ACE	ACE	色胶							北京（ACE)			ACE01007100	ACE甲油胶 2.5g 100M	ACE007100M								62				ACE007100M	100M																		
ACE01007	ACE甲油胶 2.5g	甲油胶101M	ACE	ACE	色胶							北京（ACE)			ACE01007101	ACE甲油胶 2.5g 101M	ACE007101M								62				ACE007101M	101M																		
ACE01007	ACE甲油胶 2.5g	甲油胶102M	ACE	ACE	色胶							北京（ACE)			ACE01007102	ACE甲油胶 2.5g 102M	ACE007102M								62				ACE007102M	102M																		
ACE01007	ACE甲油胶 2.5g	甲油胶103M	ACE	ACE	色胶							北京（ACE)			ACE01007103	ACE甲油胶 2.5g 103M	ACE007103M								62				ACE007103M	103M																		
ACE01007	ACE甲油胶 2.5g	甲油胶104M	ACE	ACE	色胶							北京（ACE)			ACE01007104	ACE甲油胶 2.5g 104M	ACE007104M								62				ACE007104M	104M																		
ACE01007	ACE甲油胶 2.5g	甲油胶105M	ACE	ACE	色胶							北京（ACE)			ACE01007105	ACE甲油胶 2.5g 105M	ACE007105M								62				ACE007105M	105M																		
ACE01007	ACE甲油胶 2.5g	甲油胶106M	ACE	ACE	色胶							北京（ACE)			ACE01007106	ACE甲油胶 2.5g 106M	ACE007106M								62				ACE007106M	106M																		
ACE01007	ACE甲油胶 2.5g	甲油胶107M	ACE	ACE	色胶							北京（ACE)			ACE01007107	ACE甲油胶 2.5g 107M	ACE007107M								62				ACE007107M	107M																		
ACE01007	ACE甲油胶 2.5g	甲油胶108P	ACE	ACE	色胶							北京（ACE)			ACE01007108	ACE甲油胶 2.5g 108P	ACE007108P								62				ACE007108P	108P																		
ACE01007	ACE甲油胶 2.5g	甲油胶109P	ACE	ACE	色胶							北京（ACE)			ACE01007109	ACE甲油胶 2.5g 109P	ACE007109P								62				ACE007109P	109P																		
ACE01007	ACE甲油胶 2.5g	甲油胶110P	ACE	ACE	色胶							北京（ACE)			ACE01007110	ACE甲油胶 2.5g 110P	ACE007110P								62				ACE007110P	110P																		
ACE01007	ACE甲油胶 2.5g	甲油胶111P	ACE	ACE	色胶							北京（ACE)			ACE01007111	ACE甲油胶 2.5g 111P	ACE007111P								62				ACE007111P	111P																		
ACE01007	ACE甲油胶 2.5g	甲油胶112P	ACE	ACE	色胶							北京（ACE)			ACE01007112	ACE甲油胶 2.5g 112P	ACE007112P								62				ACE007112P	112P																		
ACE01007	ACE甲油胶 2.5g	甲油胶113R	ACE	ACE	色胶							北京（ACE)			ACE01007113	ACE甲油胶 2.5g 113R	ACE007113R								62				ACE007113R	113R																		
ACE01007	ACE甲油胶 2.5g	甲油胶114R	ACE	ACE	色胶							北京（ACE)			ACE01007114	ACE甲油胶 2.5g 114R	ACE007114R								62				ACE007114R	114R																		
ACE01007	ACE甲油胶 2.5g	甲油胶115P	ACE	ACE	色胶							北京（ACE)			ACE01007115	ACE甲油胶 2.5g 115P	ACE007115P								62				ACE007115P	115P																		
ACE01007	ACE甲油胶 2.5g	甲油胶116P	ACE	ACE	色胶							北京（ACE)			ACE01007116	ACE甲油胶 2.5g 116P	ACE007116P								62				ACE007116P	116P																		
ACE01007	ACE甲油胶 2.5g	甲油胶117R	ACE	ACE	色胶							北京（ACE)			ACE01007117	ACE甲油胶 2.5g 117R	ACE007117R								62				ACE007117R	117R																		
ACE01007	ACE甲油胶 2.5g	甲油胶118R	ACE	ACE	色胶							北京（ACE)			ACE01007118	ACE甲油胶 2.5g 118R	ACE007118R								62				ACE007118R	118R																		
ACE01007	ACE甲油胶 2.5g	甲油胶119P	ACE	ACE	色胶							北京（ACE)			ACE01007119	ACE甲油胶 2.5g 119P	ACE007119P								62				ACE007119P	119P																		
ACE01007	ACE甲油胶 2.5g	甲油胶120P	ACE	ACE	色胶							北京（ACE)			ACE01007120	ACE甲油胶 2.5g 120P	ACE007120P								62				ACE007120P	120P																		
ACE01007	ACE甲油胶 2.5g	甲油胶121P	ACE	ACE	色胶							北京（ACE)			ACE01007121	ACE甲油胶 2.5g 121P	ACE007121P								62				ACE007121P	121P																		
ACE01007	ACE甲油胶 2.5g	甲油胶122M	ACE	ACE	色胶							北京（ACE)			ACE01007122	ACE甲油胶 2.5g 122M	ACE007122M								62				ACE007122M	122M																		
ACE01007	ACE甲油胶 2.5g	甲油胶123M	ACE	ACE	色胶							北京（ACE)			ACE01007123	ACE甲油胶 2.5g 123M	ACE007123M								62				ACE007123M	123M																		
ACE01007	ACE甲油胶 2.5g	甲油胶124M	ACE	ACE	色胶							北京（ACE)			ACE01007124	ACE甲油胶 2.5g 124M	ACE007124M								62				ACE007124M	124M																		
ACE01007	ACE甲油胶 2.5g	甲油胶125M	ACE	ACE	色胶							北京（ACE)			ACE01007125	ACE甲油胶 2.5g 125M	ACE007125M								62				ACE007125M	125M																		
ACE01007	ACE甲油胶 2.5g	甲油胶126M	ACE	ACE	色胶							北京（ACE)			ACE01007126	ACE甲油胶 2.5g 126M	ACE007126M								62				ACE007126M	126M																		
ACE01007	ACE甲油胶 2.5g	甲油胶127M	ACE	ACE	色胶							北京（ACE)			ACE01007127	ACE甲油胶 2.5g 127M	ACE007127M								62				ACE007127M	127M																		
ACE01007	ACE甲油胶 2.5g	甲油胶128M	ACE	ACE	色胶							北京（ACE)			ACE01007128	ACE甲油胶 2.5g 128M	ACE007128M								62				ACE007128M	128M																		
ACE01007	ACE甲油胶 2.5g	甲油胶129M	ACE	ACE	色胶							北京（ACE)			ACE01007129	ACE甲油胶 2.5g 129M	ACE007129M								62				ACE007129M	129M																		
